,telegram_id,username,is_banned,excluded_from_airdrop
1263,360689820,DorisChristy,1,0
1264,360766765,,1,0
1265,360996514,,1,0
1273,361500689,,1,0
1274,361529739,,1,0
1276,361571182,Tiarauyun,1,0
1277,361930404,,1,0
1278,361965160,jskyo7,1,0
1279,362004146,,1,0
1281,362090297,,1,0
1283,362183193,,1,0
1287,362491757,,1,0
1288,362626402,wenxiaxia,1,0
1290,362783759,bennieantolik2096,1,0
1291,362945261,,1,0
1293,363023149,,1,0
1294,363099211,ChanningStephen,1,0
1296,363144589,niudidi3,1,0
1301,363314378,damapa,1,0
1302,363490322,,1,0
1303,363500436,,1,0
1307,363942822,douqundan,1,0
1313,364317759,,1,0
1315,364544478,haikamuz,1,0
1316,364631154,DesiBoi25,1,0
1319,364868670,letien1912,1,0
1321,365011748,SahibTaken,1,0
1323,365056597,weipocai81,1,0
1326,365161404,,1,0
1327,365175778,SektorPi,1,0
1329,365178864,MyDiem,1,0
1331,365273905,,1,0
1334,365591324,Meg4Mind,1,0
1335,365731603,ohottnikov,1,0
1337,365901274,,1,0
1339,366016007,,1,0
1340,366207313,,1,0
1341,366245286,squandzie,1,0
1342,366387589,qvbtuoaehg,1,0
1343,366457475,Welder_lag,1,0
1344,366462004,hdesign81,1,0
1346,366555123,,1,0
1347,366579183,,1,0
1349,366896976,HowarLucas,1,0
1352,366976632,phiroz2010,1,0
1353,367002924,quzzgbnbwp,1,0
1354,367210890,Marivaldo_BR,1,0
1355,367262974,Maenae,1,0
1357,367410287,shannian_1990,1,0
1358,367604272,Nhutpro,1,0
1362,367814192,,1,0
1363,367884056,ff941pb9,1,0
1364,367945116,Trigar12,1,0
1365,367977454,muneerashine,1,0
1371,368206943,,1,0
1372,368396658,,1,0
1374,368467459,giender12,1,0
1375,368535281,enzyl33t,1,0
1376,368535781,RubyCrest,1,0
1377,368632678,,1,0
1378,368725214,,1,0
1380,368924284,lieuduchoa,1,0
1381,368932075,yejiazhi38,1,0
1382,369041565,,1,0
1383,369100677,,1,0
1385,369174534,Ciquee,1,0
1387,369316302,sheduanna50,1,0
1391,369540611,PhoebeMartha,1,0
1392,369588104,Wendywea,1,0
1393,369610491,,1,0
1396,369702005,lmk1974,1,0
1404,370128104,pongsakjumpahom,1,0
1405,370134693,happy_rj,1,0
1408,370288618,,1,0
1412,370392599,cu0ngnm,1,0
1414,370475210,,1,0
